region1,region2,Distance
NZ Auckland,NZ Canterbury,0.0011634677
NZ Auckland,NZ Canterbury,0.0005824112
NZ Auckland,NZ Canterbury,0.0017454558
NZ Auckland,NZ Canterbury,0.0023312605
NZ Auckland,NZ Canterbury,0.0017492729
NZ Auckland,NZ Canterbury,0.0177050214
NZ Auckland,NZ Canterbury,0.0177050214
NZ Canterbury,NZ Canterbury,0.0176694743
NZ Canterbury,NZ Canterbury,0.0170767354
NZ Canterbury,NZ Canterbury,0.0011634677
NZ Canterbury,NZ Canterbury,0.0011634677
NZ Canterbury,NZ Canterbury,0.0017502935
NZ Canterbury,NZ Canterbury,0.0176694743
NZ Canterbury,NZ Canterbury,0.0176694743
NZ Canterbury,NZ Canterbury,0.0176694743
NZ Canterbury,NZ Canterbury,0.0011634677
NZ Canterbury,NZ Canterbury,0.0011630445
NZ Canterbury,NZ Canterbury,0.0147194279
NZ Canterbury,NZ Canterbury,0.0182686355
NZ Canterbury,NZ Canterbury,0.0176755379
NZ Canterbury,NZ Canterbury,0.0182750584
NZ Canterbury,NZ Canterbury,0.0176755379
NZ Canterbury,NZ Canterbury,0.0005813954
NZ Canterbury,NZ Canterbury,0.0005827506
NZ Canterbury,NZ Canterbury,0.0011661813
NZ Auckland,NZ Canterbury,0.0158812776
NZ Auckland,NZ Canterbury,0.0153116241
NZ Auckland,NZ Canterbury,0.0164733015
NZ Auckland,NZ Canterbury,0.0170911532
NZ Auckland,NZ Canterbury,0.0165077969
NZ Auckland,NZ Canterbury,0.0194762601
NZ Auckland,NZ Canterbury,0.0194762601
NZ Canterbury,NZ Canterbury,0.0111305125
NZ Canterbury,NZ Canterbury,0.0105420019
NZ Canterbury,NZ Canterbury,0.0158812776
NZ Canterbury,NZ Canterbury,0.0158812776
NZ Canterbury,NZ Canterbury,0.0165175357
NZ Canterbury,NZ Canterbury,0.0111305125
NZ Canterbury,NZ Canterbury,0.0111305125
NZ Canterbury,NZ Canterbury,0.0111305125
NZ Canterbury,NZ Canterbury,0.0158812776
NZ Canterbury,NZ Canterbury,0.0158762865
NZ Canterbury,NZ Canterbury,0.0070240551
NZ Canterbury,NZ Canterbury,0.0117225789
NZ Canterbury,NZ Canterbury,0.0105492642
NZ Canterbury,NZ Canterbury,0.0111416813
NZ Canterbury,NZ Canterbury,0.0105492642
NZ Canterbury,NZ Canterbury,0.0152846188
NZ Canterbury,NZ Canterbury,0.0153206471
NZ Canterbury,NZ Canterbury,0.0159187333
NZ Canterbury,NZ Canterbury,0.0158812776
NZ Auckland,NZ Canterbury,0.0164786492
NZ Auckland,NZ Canterbury,0.0159093528
NZ Auckland,NZ Canterbury,0.0170710302
NZ Auckland,NZ Canterbury,0.0176903145
NZ Auckland,NZ Canterbury,0.0171069582
NZ Auckland,NZ Canterbury,0.0188752985
NZ Auckland,NZ Canterbury,0.0188752985
NZ Canterbury,NZ Canterbury,0.0117225789
NZ Canterbury,NZ Canterbury,0.0111337180
NZ Canterbury,NZ Canterbury,0.0164786492
NZ Canterbury,NZ Canterbury,0.0164786492
NZ Canterbury,NZ Canterbury,0.0171170562
NZ Canterbury,NZ Canterbury,0.0117225789
NZ Canterbury,NZ Canterbury,0.0117225789
NZ Canterbury,NZ Canterbury,0.0117225789
NZ Canterbury,NZ Canterbury,0.0164786492
NZ Canterbury,NZ Canterbury,0.0164733015
NZ Canterbury,NZ Canterbury,0.0076136778
NZ Canterbury,NZ Canterbury,0.0123153472
NZ Canterbury,NZ Canterbury,0.0111416813
NZ Canterbury,NZ Canterbury,0.0117348012
NZ Canterbury,NZ Canterbury,0.0111416813
NZ Canterbury,NZ Canterbury,0.0158812776
NZ Canterbury,NZ Canterbury,0.0159187333
NZ Canterbury,NZ Canterbury,0.0165175357
NZ Canterbury,NZ Canterbury,0.0164786492
NZ Canterbury,NZ Canterbury,0.0005813954
NZ Auckland,NZ Canterbury,0.0158812776
NZ Auckland,NZ Canterbury,0.0153116241
NZ Auckland,NZ Canterbury,0.0164733015
NZ Auckland,NZ Canterbury,0.0170911532
NZ Auckland,NZ Canterbury,0.0165077969
NZ Auckland,NZ Canterbury,0.0194762601
NZ Auckland,NZ Canterbury,0.0194762601
NZ Canterbury,NZ Canterbury,0.0111305125
NZ Canterbury,NZ Canterbury,0.0105420019
NZ Canterbury,NZ Canterbury,0.0158812776
NZ Canterbury,NZ Canterbury,0.0158812776
NZ Canterbury,NZ Canterbury,0.0165175357
NZ Canterbury,NZ Canterbury,0.0111305125
NZ Canterbury,NZ Canterbury,0.0111305125
NZ Canterbury,NZ Canterbury,0.0111305125
NZ Canterbury,NZ Canterbury,0.0158812776
NZ Canterbury,NZ Canterbury,0.0158762865
NZ Canterbury,NZ Canterbury,0.0070240551
NZ Canterbury,NZ Canterbury,0.0117225789
NZ Canterbury,NZ Canterbury,0.0105492642
NZ Canterbury,NZ Canterbury,0.0111416813
NZ Canterbury,NZ Canterbury,0.0105492642
NZ Canterbury,NZ Canterbury,0.0152846188
NZ Canterbury,NZ Canterbury,0.0153206471
NZ Canterbury,NZ Canterbury,0.0159187333
NZ Canterbury,NZ Canterbury,0.0158812776
NZ Canterbury,NZ Canterbury,0.0000000000
NZ Canterbury,NZ Canterbury,0.0005813954
NZ Auckland,NZ Canterbury,0.0011634677
NZ Auckland,NZ Canterbury,0.0005824112
NZ Auckland,NZ Canterbury,0.0017454558
NZ Auckland,NZ Canterbury,0.0023312605
NZ Auckland,NZ Canterbury,0.0017492729
NZ Auckland,NZ Canterbury,0.0177050214
NZ Auckland,NZ Canterbury,0.0177050214
NZ Canterbury,NZ Canterbury,0.0176694743
NZ Canterbury,NZ Canterbury,0.0170767354
NZ Canterbury,NZ Canterbury,0.0011634677
NZ Canterbury,NZ Canterbury,0.0011634677
NZ Canterbury,NZ Canterbury,0.0017502935
NZ Canterbury,NZ Canterbury,0.0176694743
NZ Canterbury,NZ Canterbury,0.0176694743
NZ Canterbury,NZ Canterbury,0.0176694743
NZ Canterbury,NZ Canterbury,0.0011634677
NZ Canterbury,NZ Canterbury,0.0011630445
NZ Canterbury,NZ Canterbury,0.0147194279
NZ Canterbury,NZ Canterbury,0.0182686355
NZ Canterbury,NZ Canterbury,0.0176755379
NZ Canterbury,NZ Canterbury,0.0182750584
NZ Canterbury,NZ Canterbury,0.0176755379
NZ Canterbury,NZ Canterbury,0.0005813954
NZ Canterbury,NZ Canterbury,0.0005827506
NZ Canterbury,NZ Canterbury,0.0011661813
NZ Canterbury,NZ Canterbury,0.0011634677
NZ Canterbury,NZ Canterbury,0.0158812776
NZ Canterbury,NZ Canterbury,0.0164786492
NZ Canterbury,NZ Canterbury,0.0158812776
NZ Auckland,NZ Canterbury,0.0005837712
NZ Auckland,NZ Canterbury,0.0000000000
NZ Auckland,NZ Canterbury,0.0011677982
NZ Auckland,NZ Canterbury,0.0017525936
NZ Auckland,NZ Canterbury,0.0011682248
NZ Auckland,NZ Canterbury,0.0171757017
NZ Auckland,NZ Canterbury,0.0171757017
NZ Canterbury,NZ Canterbury,0.0171416691
NZ Canterbury,NZ Canterbury,0.0165468213
NZ Canterbury,NZ Canterbury,0.0005837712
NZ Canterbury,NZ Canterbury,0.0005837712
NZ Canterbury,NZ Canterbury,0.0011682248
NZ Canterbury,NZ Canterbury,0.0171416691
NZ Canterbury,NZ Canterbury,0.0171416691
NZ Canterbury,NZ Canterbury,0.0171416691
NZ Canterbury,NZ Canterbury,0.0005837712
NZ Canterbury,NZ Canterbury,0.0005836860
NZ Canterbury,NZ Canterbury,0.0141560914
NZ Canterbury,NZ Canterbury,0.0177426307
NZ Canterbury,NZ Canterbury,0.0171474220
NZ Canterbury,NZ Canterbury,0.0177487449
NZ Canterbury,NZ Canterbury,0.0171474220
NZ Canterbury,NZ Canterbury,0.0000000000
NZ Canterbury,NZ Canterbury,0.0000000000
NZ Canterbury,NZ Canterbury,0.0005837712
NZ Canterbury,NZ Canterbury,0.0005837712
NZ Canterbury,NZ Canterbury,0.0153477799
NZ Canterbury,NZ Canterbury,0.0159469412
NZ Canterbury,NZ Canterbury,0.0153477799
NZ Canterbury,NZ Canterbury,0.0005837712
NZ Auckland,NZ Canterbury,0.0005813954
NZ Auckland,NZ Canterbury,0.0000000000
NZ Auckland,NZ Canterbury,0.0011630445
NZ Auckland,NZ Canterbury,0.0017474892
NZ Auckland,NZ Canterbury,0.0011655017
NZ Auckland,NZ Canterbury,0.0171047812
NZ Auckland,NZ Canterbury,0.0171047812
NZ Canterbury,NZ Canterbury,0.0170710302
NZ Canterbury,NZ Canterbury,0.0164786492
NZ Canterbury,NZ Canterbury,0.0005813954
NZ Canterbury,NZ Canterbury,0.0005813954
NZ Canterbury,NZ Canterbury,0.0011661813
NZ Canterbury,NZ Canterbury,0.0170710302
NZ Canterbury,NZ Canterbury,0.0170710302
NZ Canterbury,NZ Canterbury,0.0170710302
NZ Canterbury,NZ Canterbury,0.0005813954
NZ Canterbury,NZ Canterbury,0.0005813109
NZ Canterbury,NZ Canterbury,0.0141227691
NZ Canterbury,NZ Canterbury,0.0176694743
NZ Canterbury,NZ Canterbury,0.0170767354
NZ Canterbury,NZ Canterbury,0.0176755379
NZ Canterbury,NZ Canterbury,0.0170767354
NZ Canterbury,NZ Canterbury,0.0000000000
NZ Canterbury,NZ Canterbury,0.0000000000
NZ Canterbury,NZ Canterbury,0.0005827506
NZ Canterbury,NZ Canterbury,0.0005813954
NZ Canterbury,NZ Canterbury,0.0152846188
NZ Canterbury,NZ Canterbury,0.0158812776
NZ Canterbury,NZ Canterbury,0.0152846188
NZ Canterbury,NZ Canterbury,0.0005813954
NZ Canterbury,NZ Canterbury,0.0000000000
NZ Auckland,NZ Canterbury,0.0023350889
NZ Auckland,NZ Canterbury,0.0017533624
NZ Auckland,NZ Canterbury,0.0029191186
NZ Auckland,NZ Canterbury,0.0035049417
NZ Auckland,NZ Canterbury,0.0029256959
NZ Auckland,NZ Canterbury,0.0189524662
NZ Auckland,NZ Canterbury,0.0189524662
NZ Canterbury,NZ Canterbury,0.0189131275
NZ Canterbury,NZ Canterbury,0.0183182580
NZ Canterbury,NZ Canterbury,0.0023350889
NZ Canterbury,NZ Canterbury,0.0023350889
NZ Canterbury,NZ Canterbury,0.0029205691
NZ Canterbury,NZ Canterbury,0.0189131275
NZ Canterbury,NZ Canterbury,0.0189131275
NZ Canterbury,NZ Canterbury,0.0189131275
NZ Canterbury,NZ Canterbury,0.0023350889
NZ Canterbury,NZ Canterbury,0.0023339810
NZ Canterbury,NZ Canterbury,0.0159525005
NZ Canterbury,NZ Canterbury,0.0195151746
NZ Canterbury,NZ Canterbury,0.0189199428
NZ Canterbury,NZ Canterbury,0.0195223525
NZ Canterbury,NZ Canterbury,0.0189199428
NZ Canterbury,NZ Canterbury,0.0017502935
NZ Canterbury,NZ Canterbury,0.0017502935
NZ Canterbury,NZ Canterbury,0.0023350889
NZ Canterbury,NZ Canterbury,0.0023350889
NZ Canterbury,NZ Canterbury,0.0171170562
NZ Canterbury,NZ Canterbury,0.0177172964
NZ Canterbury,NZ Canterbury,0.0171170562
NZ Canterbury,NZ Canterbury,0.0023350889
NZ Canterbury,NZ Canterbury,0.0017533624
NZ Canterbury,NZ Canterbury,0.0017502935
NZ Auckland,NZ Canterbury,0.0000000000
NZ Auckland,NZ Canterbury,0.0005824112
NZ Auckland,NZ Canterbury,0.0017454558
NZ Auckland,NZ Canterbury,0.0023312605
NZ Auckland,NZ Canterbury,0.0017492729
NZ Auckland,NZ Canterbury,0.0177050214
NZ Auckland,NZ Canterbury,0.0177050214
NZ Canterbury,NZ Canterbury,0.0176694743
NZ Canterbury,NZ Canterbury,0.0170767354
NZ Canterbury,NZ Canterbury,0.0011634677
NZ Canterbury,NZ Canterbury,0.0011634677
NZ Canterbury,NZ Canterbury,0.0017502935
NZ Canterbury,NZ Canterbury,0.0176694743
NZ Canterbury,NZ Canterbury,0.0176694743
NZ Canterbury,NZ Canterbury,0.0176694743
NZ Canterbury,NZ Canterbury,0.0011634677
NZ Canterbury,NZ Canterbury,0.0011630445
NZ Canterbury,NZ Canterbury,0.0147194279
NZ Canterbury,NZ Canterbury,0.0182686355
NZ Canterbury,NZ Canterbury,0.0176755379
NZ Canterbury,NZ Canterbury,0.0182750584
NZ Canterbury,NZ Canterbury,0.0176755379
NZ Canterbury,NZ Canterbury,0.0005813954
NZ Canterbury,NZ Canterbury,0.0005827506
NZ Canterbury,NZ Canterbury,0.0011661813
NZ Canterbury,NZ Canterbury,0.0011634677
NZ Canterbury,NZ Canterbury,0.0158812776
NZ Canterbury,NZ Canterbury,0.0164786492
NZ Canterbury,NZ Canterbury,0.0158812776
NZ Canterbury,NZ Canterbury,0.0011634677
NZ Canterbury,NZ Canterbury,0.0005837712
NZ Canterbury,NZ Canterbury,0.0005813954
NZ Canterbury,NZ Canterbury,0.0023350889
NZ Auckland,NZ Canterbury,0.0153206471
NZ Auckland,NZ Canterbury,0.0147493358
NZ Auckland,NZ Canterbury,0.0159137184
NZ Auckland,NZ Canterbury,0.0165121625
NZ Auckland,NZ Canterbury,0.0159469412
NZ Auckland,NZ Canterbury,0.0189199428
